,movie_id,actor_1_gender,actor_2_gender,actor_1_name,actor_2_name,director_gender,director_name,Unnamed: 0.1,Unnamed: 0,adult,budget,genres,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count
447,2019,2,2,Jean-Claude Van Damme,Arnold Vosloo,2,John Woo,459,Action,False,18000000,Action,en,Hard Target,"When a woman's father goes missing, she enlist a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",7.834351,Universal Pictures,United States of America,1993-08-20,74189677.0,97.0,English,Hard Target,6.1,237.0
449,9255,2,2,Charlie Sheen,Lloyd Bridges,2,Jim Abrahams,461,Action,False,25000000,Action,en,Hot Shots! Part Deux,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm.",13.482371,Twentieth Century Fox Film Corporation,United States of America,1993-05-21,133752825.0,86.0,English,Hot Shots! Part Deux,6.2,463.0
456,12475,2,2,Pauly Shore,Andy Dick,2,"Daniel Petrie, Jr.",468,Comedy,False,0,Comedy,en,In the Army Now,"Bones Conway and Jack Kaufman didn't really know what they were in for when they enlisted in the U.S. Army; they just wanted to get a job and make some money. But these new recruits are so hapless, they run the risk of getting kicked out before their military careers even begin. Soon, though, they're sent to the Middle East to fight for their country -- which they manage to do in their own wacky ways.",6.071466,Hollywood Pictures,United States of America,1994-08-12,28881266.0,91.0,English,In the Army Now,4.7,54.0
457,9386,2,1,Clint Eastwood,Rene Russo,2,Wolfgang Petersen,469,Action,False,40000000,Action,en,In the Line of Fire,"Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",12.637158,Castle Rock Entertainment,United States of America,1993-07-08,176997168.0,128.0,English,In the Line of Fire,6.8,392.0
458,7984,2,2,Daniel Day-Lewis,Pete Postlethwaite,2,Jim Sheridan,470,Drama,False,13000000,Drama,en,In the Name of the Father,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",7.405895,Universal Pictures,United Kingdom,1993-12-12,65796862.0,133.0,English,In the Name of the Father,7.6,363.0
459,59930,2,2,Larenz Tate,Joe Morton,2,Matty Rich,471,Comedy,False,0,Comedy,en,The Inkwell,The Inkwell is about a 16-year-old boy coming of age on Martha's Vineyard in the summer of 1976.,0.613335,Touchstone Pictures,United States of America,1994-04-22,8880705.0,110.0,English,The Inkwell,3.9,5.0
462,6,2,2,Emilio Estevez,Cuba Gooding Jr.,2,Stephen Hopkins,474,Action,False,0,Action,en,Judgment Night,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",5.538671,Universal Pictures,Japan,1993-10-15,12136938.0,110.0,English,Judgment Night,6.4,79.0
463,329,2,1,Sam Neill,Laura Dern,2,Steven Spielberg,475,Adventure,False,63000000,Adventure,en,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,Universal Pictures,United States of America,1993-06-11,920100000.0,127.0,English,Jurassic Park,7.6,4956.0
464,10909,2,2,Brad Pitt,David Duchovny,2,Dominic Sena,476,Thriller,False,9000000,Thriller,en,Kalifornia,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",8.4337,Propaganda Films,United States of America,1993-09-01,2395231.0,117.0,English,Kalifornia,6.5,209.0
465,507,2,1,Eric Stoltz,Julie Delpy,2,Roger Avary,477,Action,False,1500000,Action,en,Killing Zoe,"Zed (Eric Stoltz) is an American vault-cracker who travels to Paris to meet up with his old friend Eric (Jean-Hugues Anglade). Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.",4.948569,Live Entertainment,France,1993-10-01,418961.0,96.0,English,Killing Zoe,6.1,111.0
468,9593,2,2,Arnold Schwarzenegger,F. Murray Abraham,2,John McTiernan,480,Adventure,False,85000000,Adventure,en,Last Action Hero,"Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.",9.434006,Columbia Pictures Corporation,United States of America,1993-06-18,137298489.0,130.0,English,Last Action Hero,6.1,725.0
471,1413,2,2,Jeremy Irons,John Lone,2,David Cronenberg,483,Drama,False,0,Drama,en,M. Butterfly,"In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks.",6.516976,Geffen Pictures,United States of America,1993-09-09,1499795.0,101.0,English,M. Butterfly,6.6,35.0
473,2246,2,1,Alec Baldwin,Nicole Kidman,2,Harold Becker,485,Drama,False,0,Drama,en,Malice,"A tale about a happily married couple who would like to have children. Tracy teaches infants, Andy's a college professor. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor.",9.861672,Columbia Pictures,United States of America,1993-09-29,46405336.0,107.0,English,Malice,5.9,105.0
474,10502,2,2,Mel Gibson,Nick Stahl,2,Mel Gibson,486,Drama,False,0,Drama,en,The Man without a Face,"The story of a relationship between a teacher and his troubled pupil. Justin McLeod is a former teacher who lives as a recluse on the edge of town. His face is disfigured from an automobile accident and fire ten years before in which a boy was incinerated and for which he was convicted of involuntary manslaughter. He is also suspected of being a pedophile. He is befriended by Chuck, causing the town's suspicion and hostility to be ignited. McLeod inculcates in his protege a love of justice and freedom from prejudice which sustains him beyond the end of the film.",5.997712,Icon Entertainment International,United States of America,1993-08-25,24760338.0,114.0,English,The Man without a Face,6.2,125.0
475,10440,2,1,Woody Allen,Diane Keaton,2,Woody Allen,487,Comedy,False,13500000,Comedy,en,Manhattan Murder Mystery,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,8.939404,TriStar Pictures,United States of America,1993-08-18,11285588.0,104.0,English,Manhattan Murder Mystery,7.1,169.0
476,9516,2,2,Tyrin Turner,Larenz Tate,2,Albert Hughes,488,Drama,False,3500000,Drama,en,Menace II Society,"Menace II Society is a coming of age tale detailing the summer after its protagonist Caine (Tyrin Turner) graduates from high school. This is Caine's story, which details real life in today's tough inner city.",5.260924,New Line Cinema,United States of America,1993-05-26,27900000.0,97.0,English,Menace II Society,7.2,179.0
477,2320,2,2,Kurt Russell,Steven Seagal,2,Stuart Baird,489,Action,False,55000000,Action,en,Executive Decision,"Terrorists hijack a 747 inbound to Washington D.C., demanding the the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.",13.106291,Silver Pictures,United States of America,1996-03-15,121969216.0,133.0,English,Executive Decision,5.8,261.0
483,788,2,1,Robin Williams,Sally Field,2,Chris Columbus,495,Comedy,False,25000000,Comedy,en,Mrs. Doubtfire,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",11.16553,Twentieth Century Fox Film Corporation,United States of America,1993-11-24,441286195.0,125.0,English,Mrs. Doubtfire,7.0,1638.0
485,11231,2,1,Pat Morita,Hilary Swank,2,Christopher Cain,497,Adventure,False,12000000,Adventure,en,The Next Karate Kid,"During a commemoration for Japanese soldiers fighting in the US Army during World War II, Mr. Miyagi meets the widow of his commanding officer. He gets to know her granddaughter Julie, an angry teenager who is still feeling the pain of losing both her parents in an accident and is having problems with her grandmother and her fellow pupils. Mr. Miyagi decides to teach her karate to get her through her pain and issues and back on the right path.",9.9697,Columbia Pictures Corporation,United States of America,1994-07-18,15826984.0,107.0,English,The Next Karate Kid,4.8,202.0
487,10447,2,2,Ray Liotta,Lance Henriksen,2,Martin Campbell,499,Action,False,20000000,Action,en,No Escape,"In the year 2022, a ruthless prison warden has created the ultimate solution for his most troublesome and violent inmates: Absolom, a secret jungle island where prisoners are abandoned and left to die. But Marine Captain John Robbins, convicted of murdering a commanding officer, is determined to escape the island in order to reveal the truth behind his murderous actions and clear his name.",9.715187,Columbia Pictures Corporation,United States of America,1994-04-29,15340000.0,118.0,English,No Escape,6.1,86.0
490,9559,2,2,Kevin Costner,Clint Eastwood,2,Clint Eastwood,502,Crime,False,30000000,Crime,en,A Perfect World,"A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",8.040589,Malpaso Productions,United States of America,1993-11-24,135130999.0,138.0,English,A Perfect World,7.2,376.0
491,9800,2,2,Tom Hanks,Denzel Washington,2,Jonathan Demme,503,Drama,False,26000000,Drama,en,Philadelphia,No one would take his case until one man was willing to take on the system. Two competing lawyers join forces to sue a prestigious law firm for AIDS discrimination. As their unlikely friendship develops their courage overcomes the prejudice and corruption of their powerful adversaries.,13.373006,TriStar Pictures,United States of America,1993-12-22,206678440.0,125.0,English,Philadelphia,7.6,1019.0
492,713,1,2,Holly Hunter,Harvey Keitel,1,Jane Campion,504,Drama,False,7000000,Drama,en,The Piano,"After a long voyage from Scotland, pianist Ada McGrath and her young daughter, Flora, are left with all their belongings, including a piano, on a New Zealand beach. Ada, who has been mute since childhood, has been sold into marriage to a local man named Alisdair Stewart. Making little attempt to warm up to Alisdair, Ada soon becomes intrigued by his Maori-friendly acquaintance, George Baines, leading to tense, life-altering conflicts.",7.436758,New South Wales Film & Television Office,New Zealand,1993-05-19,116700000.0,121.0,English,The Piano,7.1,290.0
493,8291,1,2,Janet Jackson,Tupac Amaru Shakur,2,John Singleton,505,Drama,False,14000000,Drama,en,Poetic Justice,"In this film, we see the world through the eyes of main character Justice, a young African-American poet. A mail carrier invites a few friends along for a long overnight delivery run.",6.972599,Columbia Pictures,United States of America,1993-07-23,27515786.0,109.0,English,Poetic Justice,6.9,47.0
494,18133,2,1,James Caan,Halle Berry,2,David S. Ward,506,Drama,False,0,Drama,en,The Program,"Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.",3.199976,Touchstone Pictures,United States of America,1993-09-24,23042200.0,112.0,English,The Program,6.0,28.0
495,25557,2,2,Donald Sutherland,Eric Thal,2,Stuart Orme,507,Horror,False,0,Horror,en,The Puppet Masters,"The Earth is invaded by alien parasites aka ""slugs"" that ride on people's backs and control their minds. A trio of American government agents attempt to thwart this.",7.272296,Hollywood Pictures,United States of America,1994-10-21,8638072.0,109.0,English,The Puppet Masters,5.6,41.0
497,10872,2,1,Denis Leary,Judy Davis,2,Ted Demme,509,Comedy,False,11000000,Comedy,en,The Ref,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",5.868677,Touchstone Pictures,United States of America,1994-03-09,11439193.0,97.0,English,The Ref,6.7,99.0
498,1245,2,1,Anthony Hopkins,Emma Thompson,2,James Ivory,510,Drama,False,11500000,Drama,en,The Remains of the Day,A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,12.222576,Columbia Pictures,United Kingdom,1993-11-05,23237911.0,134.0,English,The Remains of the Day,7.5,213.0
499,11858,2,2,Danny DeVito,Mark Wahlberg,1,Penny Marshall,511,Comedy,False,40000000,Comedy,en,Renaissance Man,"Danny DeVito plays an advertising man who is slowly sliding downhill. When he is fired from his job in Detroit, he signs up for unemployment. One day they find him a job; Teaching thinking skills to Army recruits. He arrives on base to find that there is no structure set up for the class.",4.985157,Cinergi Pictures Entertainment,Canada,1994-06-03,24332324.0,128.0,English,Renaissance Man,5.9,83.0
500,7007,2,2,Sean Connery,Wesley Snipes,2,Philip Kaufman,512,Action,False,0,Action,en,Rising Sun,"When a prostitute is found dead in a Los Angeles skyscraper occupied by a large Japanese corporation, detectives John Conner and Web Smith are called in to investigate. Although Conner has previous experience working in Japan, cultural differences make their progress difficult until a security disc showing the murder turns up. Close scrutiny proves the disc has been doctored, and the detectives realize they're dealing with a cover-up as well.",6.279082,Twentieth Century Fox Film Corporation,United States of America,1993-07-30,107198790.0,125.0,日本語,Rising Sun,5.8,188.0
502,5550,2,1,Robert John Burke,Nancy Allen,2,Fred Dekker,514,Action,False,22000000,Action,en,RoboCop 3,"The mega corporation Omni Consumer Products is still bent on creating their pet project, Delta City, to replace the rotting city of Detroit. Unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end, OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight, Robocop must decide where his loyalties lie.",8.685798,Orion Pictures,United States of America,1993-04-17,10696210.0,104.0,English,RoboCop 3,4.2,309.0
503,8005,2,2,Cary Elwes,Dom DeLuise,2,Mel Brooks,515,Comedy,False,20000000,Comedy,en,Robin Hood: Men in Tights,"Robin Hood comes home after fighting in the Crusades to learn that the noble King Richard is in exile and that the despotic King John now rules England, with the help of the Sheriff of Rottingham. Robin Hood assembles a band of fellow patriots to do battle with King John and the Sheriff.",17.136672,Gaumont,France,1993-07-28,35739755.0,104.0,English,Robin Hood: Men in Tights,6.4,575.0
504,2088,2,1,Gary Oldman,Lena Olin,2,Peter Medak,516,Action,False,11500000,Action,en,Romeo Is Bleeding,A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,9.796318,Working Title Films,United Kingdom,1993-09-13,3275585.0,100.0,English,Romeo Is Bleeding,5.7,36.0
506,47889,1,2,Ashley Judd,Todd Field,2,Victor Nunez,518,Drama,False,800000,Drama,en,Ruby in Paradise,"Reeling from her mother's recent death, Ruby Lee Gissing relocates to Florida to start anew. After finding a job at a souvenir store, Ruby becomes friends with the shop's owner, Mildred Chambers, and slowly acclimates to her new surroundings. Before long, she's juggling the affections of Mildred's Lothario son, Ricky, and the good-natured Mike. As she wavers between Ricky and Mike, Ruby also tries to come to terms with her past.",0.941994,Ruby in Paradise,United States of America,1993-10-08,1001437.0,114.0,English,Ruby in Paradise,5.6,10.0
507,14534,2,2,Sean Astin,Jon Favreau,2,David Anspaugh,519,Drama,False,12000000,Drama,en,Rudy,"Rudy grew up in a steel mill town where most people ended up working, but wanted to play football at Notre Dame instead. There were only a couple of problems. His grades were a little low, his athletic skills were poor, and he was only half the size of the other players. But he had the drive and the spirit of 5 people and has set his sights upon joining the team.",5.914833,TriStar Pictures,United States of America,1993-09-17,22750363.0,114.0,English,Rudy,7.2,187.0
510,424,2,2,Liam Neeson,Ben Kingsley,2,Steven Spielberg,522,Drama,False,22000000,Drama,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,Universal Pictures,United States of America,1993-11-29,321365567.0,195.0,Deutsch,Schindler's List,8.3,4436.0
512,14291,2,2,Max Pomeranc,Joe Mantegna,2,Steven Zaillian,524,Drama,False,0,Drama,en,Searching for Bobby Fischer,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,12.048587,Mirage Enterprises,United States of America,1993-08-13,7266383.0,110.0,English,Searching for Bobby Fischer,7.3,100.0
515,11592,1,2,Kathleen Turner,Sam Waterston,2,John Waters,527,Comedy,False,13000000,Comedy,en,Serial Mom,"A picture perfect middle class family is shocked when they find out that one of their neighbors is receiving obscene phone calls. The mom takes slights against her family very personally, and it turns out she is indeed the one harassing the neighbor. As other slights befall her beloved family, the body count begins to increase.",5.305311,Savoy Pictures,United States of America,1994-04-13,7820688.0,95.0,English,Serial Mom,6.4,137.0
516,8850,2,2,Alec Baldwin,John Lone,2,Russell Mulcahy,528,Adventure,False,25000000,Adventure,en,The Shadow,"Based on the 1930's comic strip, puts the hero up against his arch enemy, Shiwan Khan, who plans to take over the world by holding a city to ransom using an atom bomb. Using his powers of invisibility and ""The power to cloud men's minds"", the Shadow comes blazing to the city's rescue with explosive results.",7.881107,Universal Pictures,United States of America,1994-07-01,48063435.0,108.0,English,The Shadow,5.4,140.0
518,695,1,1,Julianne Moore,Andie MacDowell,2,Robert Altman,530,Comedy,False,0,Comedy,en,Short Cuts,"Multi-storied, fish-eyed look at American culture with some 22 characters intersecting--profoundly or fleetingly--through each other's lives. Running the emotional gamut from disturbing to humorous, Altman's portrait of the contemporary human condition is nevertheless fascinating. Based on nine stories and a prose poem by Raymond Carver.",8.829337,Fine Line Features,United States of America,1993-09-05,6110979.0,187.0,English,Short Cuts,6.9,136.0
520,12519,2,1,Hugh Grant,Tara Fitzgerald,2,John Duigan,532,Comedy,False,0,Comedy,en,Sirens,"In 1930s Australia, Anglican clergyman Anthony Campion and his prim wife, Estella, are asked to visit noted painter Norman Lindsay, whose planned contribution to an international art exhibit is considered blasphemous. While Campion and Lindsay debate, Estella finds herself drawn to the three beautiful models sitting for the painter's current work, freethinking Sheela, sensual Pru and virginal Giddy.",2.86213,Miramax Films,Australia,1993-10-01,7770731.0,98.0,English,Sirens,5.2,31.0
522,858,2,1,Tom Hanks,Meg Ryan,0,Nora Ephron,534,Comedy,False,21000000,Comedy,en,Sleepless in Seattle,A young boy who tries to set his dad up on a date after the death of his mother. He calls into a radio station to talk about his dad’s loneliness which soon leads the dad into meeting a Journalist Annie who flies to Seattle to write a story about the boy and his dad. Yet Annie ends up with more than just a story in this popular romantic comedy.,10.234919,TriStar Pictures,United States of America,1993-06-24,227799884.0,105.0,English,Sleepless in Seattle,6.5,630.0
523,867,1,2,Sharon Stone,William Baldwin,2,Phillip Noyce,535,Drama,False,40000000,Drama,en,Sliver,A women moves into an apartment in Manhattan and learns that the previous tenant's life ended mysteriously after the tenant fell from the balcony.,11.23297,Paramount Pictures,United States of America,1993-05-21,116300000.0,108.0,English,Sliver,4.9,144.0
524,78,2,2,Harrison Ford,Rutger Hauer,2,Ridley Scott,536,Science Fiction,False,28000000,Science Fiction,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,Shaw Brothers,United States of America,1982-06-25,33139618.0,117.0,English,Blade Runner,7.9,3833.0
525,13203,2,1,Pauly Shore,Carla Gugino,2,Steve Rash,537,Comedy,False,0,Comedy,en,Son in Law,"Country girl Rebecca has spent most of her life on a farm in South Dakota, and, when she goes away to college in Los Angeles, Rebecca immediately feels out of place in the daunting urban setting. She is befriended by a savvy party animal named Crawl, who convinces the ambivalent Rebecca to stay in the city. When Thanksgiving break rolls around, Rebecca, no longer an innocent farm girl, invites Crawl back to South Dakota, where he pretends to be her fiancé.",9.122718,Hollywood Pictures,United States of America,1993-07-02,36448200.0,95.0,English,Son in Law,5.6,81.0
526,10442,2,1,Mike Myers,Nancy Travis,2,Thomas Schlamme,538,Comedy,False,20000000,Comedy,en,So I Married an Axe Murderer,"Just after a bad breakup, Charlie MacKenzie falls for lovely butcher Harriet Michaels and introduces her to his parents. But, as voracious consumers of sensational tabloids, his parents soon come to suspect that Harriet is actually a notorious serial killer -- ""Mrs. X"" -- wanted in connection with a string of bizarre honeymoon killings. Thinking his parents foolish, Charlie proposes to Harriet. But while on his honeymoon with her, he begins to fear they were right.",8.051914,TriStar Pictures,United States of America,1993-07-30,11585483.0,93.0,Pусский,So I Married an Axe Murderer,6.1,131.0
529,9607,2,2,Bob Hoskins,John Leguizamo,0,Annabel Jankel,541,Adventure,False,48000000,Adventure,en,Super Mario Bros.,"Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.",7.198455,Hollywood Pictures,United Kingdom,1993-05-28,20915465.0,104.0,English,Super Mario Bros.,4.0,236.0
530,17585,2,2,Ice-T,Rutger Hauer,2,Ernest R. Dickerson,542,Action,False,7400000,Action,en,Surviving the Game,Mason is a man down on his luck with nothing to lose when he's approached to lead a group of wealthy hunters on an expedition in the Pacific Northwest. But things get really twisted when Mason discovers the group isn't after wild animals -- they're after him.,3.644641,New Line Cinema,United States of America,1994-04-15,7690013.0,96.0,English,Surviving the Game,6.1,53.0
531,9057,2,1,Charlie Sheen,Nastassja Kinski,2,Deran Sarafian,543,Action,False,50000000,Action,en,Terminal Velocity,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.,8.012225,Hollywood Pictures,United States of America,1994-09-23,16478900.0,102.0,English,Terminal Velocity,5.0,82.0
534,9479,2,2,Danny Elfman,Chris Sarandon,2,Henry Selick,546,Fantasy,False,18000000,Fantasy,en,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",17.730913,Tim Burton Productions,United States of America,1993-10-09,75634409.0,76.0,English,The Nightmare Before Christmas,7.6,2135.0
535,10057,2,2,Charlie Sheen,Kiefer Sutherland,2,Stephen Herek,547,Action,False,30000000,Action,en,The Three Musketeers,"D'Artagnan travels to Paris hoping to become a musketeer, one of the French king's elite bodyguards, only to discover that the corps has been disbanded by conniving Cardinal Richelieu, who secretly hopes to usurp the throne. Fortunately, Athos, Porthos and Aramis have refused to lay down their weapons and continue to protect their king. D'Artagnan joins with the rogues to expose Richelieu's plot against the crown.",6.34785,Walt Disney Pictures,United States of America,1993-11-11,53898845.0,105.0,English,The Three Musketeers,6.2,219.0
536,11969,2,2,Kurt Russell,Val Kilmer,2,George P. Cosmatos,548,Action,False,25000000,Action,en,Tombstone,"Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.",11.338194,Hollywood Pictures,United States of America,1993-12-25,56505065.0,130.0,English,Tombstone,7.4,632.0
538,319,2,1,Christian Slater,Patricia Arquette,2,Tony Scott,550,Action,False,12500000,Action,en,True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",17.189328,Davis-Films,United States of America,1993-09-09,12281551.0,120.0,English,True Romance,7.5,762.0
540,15139,2,2,Macaulay Culkin,Christopher Lloyd,2,Joe Johnston,552,Fantasy,False,27000000,Fantasy,en,The Pagemaster,"Tyler knows a lot about accidents. So much so, he is scared to do anything that might endanger him, like riding his bike, or climbing into his treehouse. While in an old library, he is mystically transported into the unknown world of books, and he has to try and get home again. Along the way he meets some interesting characters, like Fantasy, Adventure, and Horror... Written by Colin Tinto",7.436001,Twentieth Century Fox Film Corporation,United States of America,1994-11-23,13670688.0,80.0,Dansk,The Pagemaster,6.2,178.0
546,24405,2,2,Tom Berenger,William McNamara,2,Dennis Hopper,558,Comedy,False,0,Comedy,en,Chasers,"Military men Rock Reilly and Eddie Devane are tasked with taking a prisoner, blonde bombshell Toni Johnson, on what becomes an unforgettable road trip. Toni, an enlistee who's in trouble for deserting her unit, soon proves that she's craftier than most inmates.",9.85327,Warner Bros.,United States of America,1994-04-22,1596687.0,102.0,English,Chasers,4.7,22.0
557,10897,2,2,Bug Hall,Travis Tedford,0,Penelope Spheeris,569,Romance,False,0,Romance,en,The Little Rascals,"Spanky, Alfalfa, Buckwheat, and the other characters made famous in the Our Gang shorts of the 1920s and 1930s are brought back to life in this nostalgic children's comedy. When Alfalfa starts to question his devotion to the club's principles after falling for the beautiful nine-year old Darla, the rest of the gang sets out to keep them apart.",6.707109,Universal Pictures,United States of America,1994-08-05,67308282.0,82.0,English,The Little Rascals,6.3,214.0
561,37345,2,1,Jim Broadbent,Phoebe Cates,0,Michael Austin,573,Comedy,False,0,Comedy,en,Princess Caraboo,"Bristol, England, early 19th century. A beautiful young stranger who speaks a weird language is tried for the crime of begging. But when a man claims that he can translate her dialect, it is understood that the woman is a princess from a far away land. She is then welcomed by a family of haughty aristocrats that only wants to heighten their prestige. However, the local reporter is not at all convinced she is what she claims to be and investigates. Is Caraboo really a princess?",1.943323,TriStar Pictures,[],1994-09-16,3021629.0,97.0,English,Princess Caraboo,4.4,5.0
567,771,2,2,Macaulay Culkin,Joe Pesci,2,Chris Columbus,579,Comedy,False,18000000,Comedy,en,Home Alone,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.",0.702543,Twentieth Century Fox Film Corporation,United States of America,1990-11-09,476684675.0,103.0,English,Home Alone,7.1,2487.0
568,251,2,1,Patrick Swayze,Demi Moore,2,Jerry Zucker,580,Fantasy,False,22000000,Fantasy,en,Ghost,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",11.945397,Paramount Pictures,United States of America,1990-07-12,505000000.0,127.0,English,Ghost,6.9,1381.0
569,812,2,2,Scott Weinger,Robin Williams,2,Ron Clements,581,Animation,False,28000000,Animation,en,Aladdin,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",16.357419,Walt Disney Pictures,United States of America,1992-11-25,504050219.0,90.0,English,Aladdin,7.4,3495.0
570,280,2,1,Arnold Schwarzenegger,Linda Hamilton,2,James Cameron,582,Action,False,100000000,Action,en,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",22.661695,Lightstorm Entertainment,France,1991-07-01,520000000.0,137.0,English,Terminator 2: Judgment Day,7.7,4274.0
571,581,2,1,Kevin Costner,Mary McDonnell,2,Kevin Costner,583,Adventure,False,22000000,Adventure,en,Dances with Wolves,"Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",11.654349,Tig Productions,United Kingdom,1990-11-09,424208848.0,181.0,English,Dances with Wolves,7.6,1084.0
573,268,2,2,Jack Nicholson,Michael Keaton,2,Tim Burton,585,Fantasy,False,35000000,Fantasy,en,Batman,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.",19.10673,PolyGram Filmed Entertainment,United Kingdom,1989-06-23,411348924.0,126.0,English,Batman,7.0,2145.0
